排名,代码,名称,综合得分,趋势得分,形态得分,动量得分,量能得分,当前价格,MA20,MA60,RSI,MACD,技术形态,交易信号,目标价,止损价
1,1,平安银行,87.5,22,20,23.5,22,10.85,10.52,10.15,58.2,金叉,双底形态,强烈买入,11.95,9.95
2,333,美的集团,82.3,20,18,22,22.3,65.2,63.8,61.5,62.5,金叉,杯柄形态,强烈买入,71.2,59.5
3,63,中兴通讯,78.5,19,17.5,21,21,28.6,27.85,26.9,55.8,金叉,上升三角形,买入,31.5,26
4,2415,海康威视,76.8,18.5,19,20,19.3,32.45,31.6,30.25,52.3,金叉,双底形态,买入,35.5,29.8
5,2230,科大讯飞,74.2,17,18.5,20.5,18.2,48.9,47.5,46.2,54.6,金叉,杯柄形态,买入,53.5,45.2
6,2594,比亚迪,72.5,20,15,19.5,18,268.5,262.3,255.8,58.5,金叉,上升趋势,买入,290,250
7,300750,宁德时代,71.8,19,16,19,17.8,198.6,194.5,189.2,51.2,金叉,对称三角形,买入,215,185
8,538,云南白药,70.5,18,17,18.5,17,54.3,53.2,52.1,48.5,金叉,双底形态,偏买入,58.5,51
9,568,泸州老窖,69.2,17.5,16.5,18,17.2,168.8,165.5,162.3,47.8,金叉,杯柄形态,偏买入,180,158
10,725,京东方A,68.5,16,17.5,17.5,17.5,4.25,4.15,4.08,52.5,金叉,上升三角形,偏买入,4.65,3.95
11,2142,宁波银行,67.8,18,15,17.8,17,22.85,22.3,21.8,50.2,金叉,上升趋势,偏买入,24.5,21.2
12,2271,东方雨虹,66.5,17,16,17,16.5,18.6,18.25,17.9,46.8,金叉,对称三角形,偏买入,20,17.3
13,300124,汇川技术,65.2,16.5,15.5,17.2,16,62.8,61.5,60.2,49.5,金叉,上升趋势,偏买入,67.5,58.5
14,300014,亿纬锂能,64,15,16,17,16,42.5,41.8,41.2,48.2,金叉,杯柄形态,偏买入,46,39.5
15,2460,赣锋锂业,63.5,15.5,15,16.5,16.5,35.8,35.2,34.8,45.5,金叉,双底形态,偏买入,38.5,33.2
16,2049,紫光国微,62.8,14,16.5,16,16.3,58.9,58,57.2,44.2,金叉,上升三角形,偏买入,63,55
17,938,中材科技,61.5,14.5,15,16,16,15.85,15.6,15.4,46.5,金叉,对称三角形,中性,17,14.8
18,2311,海大集团,60.2,15,14,15.5,15.7,45.6,45,44.5,47.8,金叉,上升趋势,中性,48.5,43
19,2120,韵达股份,59.5,13.5,15,15.5,15.5,8.25,8.15,8.05,48.5,金叉,杯柄形态,中性,8.85,7.75
20,2001,新和成,58,14,13.5,15,15.5,22.3,22,21.8,43.2,金叉,上升趋势,中性,23.8,21
