trade_id,date,symbol,action,price,size,pnl,signal,strike,vix
1,2000-01-07,SPY_PUT,BUY_LONG PUT,53.05888320741721,942.3492726852268,-50000.0,Delta:-0.09,4248.13,22.164165945754164
2,2000-01-14,SPY_PUT,BUY_LONG PUT,50.15108799739063,996.4888499049155,-49975.0,Delta:-0.09,4365.38,20.38679916195229
3,2000-01-21,SPY_PUT,BUY_LONG PUT,52.982178540641634,942.7700761999488,-49950.012500000004,Delta:-0.09,4148.73,22.66240954166357
4,2000-01-28,SPY_PUT,BUY_LONG PUT,44.09360332394863,1132.2512502994769,-49925.03749375,Delta:-0.09,3978.19,19.668946911891073
5,2000-02-04,SPY_PUT,BUY_LONG PUT,43.37151480687825,1150.526450302573,-49900.074975003125,Delta:-0.09,3950.67,19.48159197069537
6,2000-02-11,SPY_PUT,BUY_LONG PUT,46.47951554200671,1073.0560410518924,-49875.12493751562,Delta:-0.09,3881.44,21.25005084164651
7,2000-02-18,SPY_PUT,BUY_LONG PUT,29.45342085780912,2031.0111052582818,-59820.224850056235,Delta:-0.09,3932.32,13.291633270960748
8,2000-02-25,SPY_PUT,BUY_LONG PUT,27.9514248866321,2138.8652978381197,-59784.3327151462,Delta:-0.09,3747.14,13.237167286407884
9,2000-03-03,SPY_PUT,BUY_LONG PUT,24.40513905803759,2448.191832606647,-59748.46211551711,Delta:-0.09,3706.79,11.683521086284113
10,2000-03-10,SPY_PUT,BUY_LONG PUT,20.52586984017101,2909.1392230006613,-59712.6130382478,Delta:-0.09,3642.44,10.0
11,2000-03-17,SPY_PUT,BUY_LONG PUT,34.266644870117936,1451.2846164888106,-49730.654558687376,Delta:-0.09,3685.89,16.497591841825084
12,2000-03-24,SPY_PUT,BUY_LONG PUT,38.50405025274323,1290.923653619186,-49705.78923140803,Delta:-0.09,3738.14,18.278573461972325
13,2000-03-31,SPY_PUT,BUY_LONG PUT,44.30082434295335,1121.4449634658945,-49680.93633679233,Delta:-0.09,3646.36,21.55973728389779
14,2000-04-07,SPY_PUT,BUY_LONG PUT,40.150558981830414,1236.7473113162664,-49656.09586862393,Delta:-0.09,3738.86,19.05651979118977
15,2000-04-14,SPY_PUT,BUY_LONG PUT,45.92701458974993,1080.655214888851,-49631.267820689616,Delta:-0.09,3779.09,21.56613731243834
16,2000-04-21,SPY_PUT,BUY_LONG PUT,43.225998804428635,1147.6068467779844,-49606.452186779265,Delta:-0.09,3724.94,20.592839119864855
