date,symbol,name,industry,score,signal,pattern,price
2000-01-31,000020,股票000020,金融,98.13423437021605,强烈买入,上升三角形,21.41
2000-01-31,000081,股票000081,医药,96.66213849787727,强烈买入,双底形态,53.49
2000-01-31,000440,股票000440,消费,96.18139827482459,强烈买入,趋势上升,52.29
2000-01-31,000484,股票000484,制造,96.11120262703939,强烈买入,双底形态,40.59
2000-01-31,000306,股票000306,制造,95.98550979299549,强烈买入,上升三角形,107.09
2000-01-31,000311,股票000311,医药,95.95222492519954,强烈买入,多头排列,43.53
2000-01-31,000496,股票000496,科技,95.90164905919318,强烈买入,上升三角形,47.17
2000-01-31,000250,股票000250,制造,95.36332368458321,强烈买入,多头排列,24.62
2000-01-31,000468,股票000468,制造,95.12457839334446,强烈买入,趋势上升,56.52
2000-01-31,000453,股票000453,消费,94.83234558126956,强烈买入,多头排列,69.19
2000-01-31,000066,股票000066,医药,94.70301530254142,强烈买入,趋势上升,11.83
2000-01-31,000033,股票000033,金融,94.64428070942918,强烈买入,杯柄形态,48.58
2000-01-31,000288,股票000288,医药,94.4220257963805,强烈买入,上升三角形,64.99
2000-01-31,000225,股票000225,制造,94.32117711099622,强烈买入,杯柄形态,96.88
2000-01-31,000170,股票000170,消费,93.70891805266879,强烈买入,双底形态,77.31
2000-01-31,000142,股票000142,金融,93.60240714268757,强烈买入,趋势上升,23.03
2000-01-31,000382,股票000382,科技,93.4451774246572,强烈买入,双底形态,71.55
2000-01-31,000461,股票000461,医药,93.33539518054297,强烈买入,趋势上升,107.27
2000-01-31,000431,股票000431,消费,92.88991796612267,强烈买入,双底形态,64.83
2000-01-31,000005,股票000005,科技,92.88130123225511,强烈买入,上升三角形,61.38
2000-02-29,000233,股票000233,消费,89.6513571746355,强烈买入,双底形态,63.88
2000-02-29,000422,股票000422,金融,89.53353881176666,强烈买入,上升三角形,29.94
2000-02-29,000124,股票000124,消费,89.46116744906695,强烈买入,上升三角形,22.58
2000-02-29,000214,股票000214,消费,89.13170558921064,强烈买入,震荡整理,57.15
2000-02-29,000335,股票000335,医药,89.11707023038386,强烈买入,杯柄形态,66.86
2000-02-29,000269,股票000269,制造,89.11524614945303,强烈买入,杯柄形态,114.41
2000-02-29,000383,股票000383,金融,89.02402630466864,强烈买入,多头排列,28.01
2000-02-29,000434,股票000434,制造,89.02402630466864,强烈买入,多头排列,76.49
2000-02-29,000483,股票000483,科技,88.92404010686758,强烈买入,双底形态,39.22
2000-02-29,000449,股票000449,制造,88.7953621932764,强烈买入,趋势上升,98.89
2000-02-29,000123,股票000123,科技,88.75273494818708,强烈买入,趋势上升,112.79
2000-02-29,000196,股票000196,金融,88.6777904850613,强烈买入,多头排列,72.73
2000-02-29,000052,股票000052,医药,88.52245893474527,强烈买入,双底形态,111.36
2000-02-29,000226,股票000226,金融,88.21360548221833,强烈买入,双底形态,93.54
2000-02-29,000495,股票000495,消费,88.19063668017718,强烈买入,杯柄形态,109.63
2000-02-29,000399,股票000399,金融,88.16396927584177,强烈买入,多头排列,76.61
2000-02-29,000159,股票000159,科技,88.09244027132235,强烈买入,多头排列,50.59
2000-02-29,000286,股票000286,消费,87.85944062000164,强烈买入,震荡整理,76.56
2000-02-29,000412,股票000412,制造,87.82604356184407,强烈买入,上升三角形,20.49
2000-02-29,000003,股票000003,金融,87.80501867545536,强烈买入,趋势上升,106.75
2000-03-31,000210,股票000210,消费,89.76980542867008,强烈买入,震荡整理,54.9
2000-03-31,000102,股票000102,医药,89.44397781719725,强烈买入,趋势上升,54.53
2000-03-31,000103,股票000103,科技,89.36819307397005,强烈买入,多头排列,39.42
2000-03-31,000306,股票000306,科技,89.34413424368324,强烈买入,双底形态,114.16
2000-03-31,000366,股票000366,金融,89.34013411219159,强烈买入,震荡整理,117.01
2000-03-31,000364,股票000364,消费,89.25107724938155,强烈买入,上升三角形,43.74
2000-03-31,000192,股票000192,制造,89.16385598770424,强烈买入,多头排列,37.94
2000-03-31,000379,股票000379,金融,89.02402630466864,强烈买入,多头排列,28.59
2000-03-31,000067,股票000067,科技,88.92404010686758,强烈买入,双底形态,50.85
2000-03-31,000002,股票000002,科技,88.88538392875614,强烈买入,多头排列,117.09
2000-03-31,000352,股票000352,制造,88.85008265757438,强烈买入,杯柄形态,108.36
2000-03-31,000239,股票000239,金融,88.74444183857571,强烈买入,多头排列,92.41
2000-03-31,000034,股票000034,金融,88.74444183857571,强烈买入,多头排列,116.37
2000-03-31,000037,股票000037,制造,88.72066740556087,强烈买入,趋势上升,65.91
2000-03-31,000395,股票000395,科技,88.57705492162873,强烈买入,趋势上升,82.55
2000-03-31,000115,股票000115,金融,88.5338154631375,强烈买入,趋势上升,100.37
2000-03-31,000399,股票000399,金融,88.4151503680949,强烈买入,上升三角形,76.35
2000-03-31,000212,股票000212,消费,88.40559383822674,强烈买入,趋势上升,64.04
2000-03-31,000040,股票000040,医药,88.08939066534661,强烈买入,上升三角形,27.15
2000-03-31,000410,股票000410,消费,87.82604356184407,强烈买入,上升三角形,20.91
2000-04-28,000134,股票000134,制造,98.94335194378499,强烈买入,双底形态,83.01
2000-04-28,000491,股票000491,制造,98.67550651393309,强烈买入,双底形态,65.66
2000-04-28,000145,股票000145,科技,98.2948223096965,强烈买入,上升三角形,99.9
2000-04-28,000477,股票000477,科技,97.72878515686331,强烈买入,双底形态,87.74
2000-04-28,000163,股票000163,医药,97.2839343570052,强烈买入,趋势上升,82.97
2000-04-28,000236,股票000236,科技,97.18015620092264,强烈买入,杯柄形态,94.28
2000-04-28,000348,股票000348,消费,97.13947429947511,强烈买入,趋势上升,12.29
2000-04-28,000093,股票000093,科技,96.26320029223768,强烈买入,趋势上升,37.13
2000-04-28,000301,股票000301,医药,96.12687011399613,强烈买入,多头排列,100.31
2000-04-28,000172,股票000172,科技,95.70606734934236,强烈买入,杯柄形态,98.71
2000-04-28,000005,股票000005,消费,95.42364512397039,强烈买入,双底形态,67.03
2000-04-28,000489,股票000489,制造,95.05289683683577,强烈买入,趋势上升,106.14
2000-04-28,000019,股票000019,金融,94.91917448318982,强烈买入,震荡整理,83.44
2000-04-28,000164,股票000164,制造,94.90711208990686,强烈买入,上升三角形,44.47
2000-04-28,000002,股票000002,医药,94.44376003355477,强烈买入,趋势上升,113.16
2000-04-28,000481,股票000481,科技,94.3167930658307,强烈买入,震荡整理,85.64
2000-04-28,000306,股票000306,消费,94.21403148247946,强烈买入,震荡整理,114.05
