rank,symbol,name,industry,current_price,prev_close,price_change_pct,ma5,ma10,ma20,ma60,ma120,ma_trend,rsi,macd,macd_signal,macd_status,bb_position,atr,volume,volume_ma20,volume_ratio,pattern_name,pattern_strength,trend_score,pattern_score,momentum_score,volume_score,total_score,signal,action,confidence,target_price,stop_loss,risk_reward,analysis_date
1,002074,国轩高科,其他,101.39,98.41,3.03,99.53,95.8,92.53,86.81,85.52,多头排列,74.8,3.727,2.763,金叉,0.98,3.066,8315980,5349847,1.55,双底突破,90,25,25,21,21,92,强烈买入,积极建仓，分批买入，突破确认后加仓,高,110.58,95.25,1.5,2026-03-03
2,000831,中国稀土,其他,109.03,107.49,1.44,107.36,106.88,104.86,103.8,104.09,多头排列,62.6,0.993,0.508,金叉,0.9,3.964,5964214,5481243,1.09,双底突破,90,25,25,25,14,89,强烈买入,积极建仓，分批买入，突破确认后加仓,高,120.93,101.11,1.5,2026-03-03
3,000066,中国长城,其他,246.16,244.12,0.83,239.61,225.49,208.77,194.73,202.92,多头排列,100.0,13.943,9.188,金叉,0.95,7.173,9646681,5286681,1.82,双底突破,90,25,25,17,21,88,强烈买入,积极建仓，分批买入，突破确认后加仓,高,267.68,231.81,1.5,2026-03-03
4,000878,云南铜业,其他,146.6,139.1,5.39,142.34,139.32,133.74,132.59,123.52,多头排列,76.7,3.45,2.103,金叉,0.98,4.727,9085623,5819018,1.56,双底突破,90,25,25,17,21,88,强烈买入,积极建仓，分批买入，突破确认后加仓,高,160.78,137.14,1.5,2026-03-03
5,002078,太阳纸业,其他,16.99,17.24,-1.45,17.23,17.07,16.74,15.86,,多头排列,71.4,0.36,0.346,金叉,0.64,0.532,310927,275959,1.13,双底突破,90,25,25,21,16,87,强烈买入,积极建仓，分批买入，突破确认后加仓,高,18.59,15.93,1.5,2026-03-03
6,002001,新和成,其他,184.4,180.7,2.05,178.62,171.48,165.94,163.81,171.89,多头排列,80.2,4.948,2.452,金叉,1.04,6.156,7047386,4884376,1.44,双底突破,90,25,25,17,19,86,强烈买入,积极建仓，分批买入，突破确认后加仓,高,202.87,172.09,1.5,2026-03-03
7,000792,盐湖股份,其他,171.96,169.0,1.75,167.93,166.44,167.24,159.29,164.37,中期多头,51.4,0.912,0.808,金叉,0.82,6.756,9002998,5693506,1.58,双底突破,90,15,25,25,21,86,强烈买入,积极建仓，分批买入，突破确认后加仓,高,192.23,158.45,1.5,2026-03-03
8,000967,盈峰环境,其他,74.86,76.45,-2.08,73.63,71.13,69.98,68.26,68.71,多头排列,65.6,1.603,0.86,金叉,0.98,2.316,7311926,6460602,1.13,双底突破,90,25,25,21,14,85,强烈买入,积极建仓，分批买入，突破确认后加仓,高,81.81,70.23,1.5,2026-03-03
9,000039,中集集团,其他,182.96,184.74,-0.96,181.52,176.15,168.66,151.68,140.75,多头排列,81.0,8.032,6.821,金叉,0.9,4.597,9315618,5705678,1.63,双底突破,90,25,25,17,15,82,买入,适量买入，关注突破，突破确认后加仓,中高,196.75,173.76,1.5,2026-03-03
10,002128,电投能源,其他,205.37,213.26,-3.7,215.25,215.69,203.49,199.22,200.66,中期多头,61.6,5.975,5.357,金叉,0.53,8.273,5354654,5521637,0.97,头肩底,85,20,23,25,13,81,买入,适量买入，关注突破,中高,230.19,188.82,1.5,2026-03-03
