Ticker,总评分,信号,趋势,排名,RSI,MACD
CRM,89.81775792774654,BUY,Up,1,78.09668990610189,1.933112800314261
WMT,79.97799232240467,BUY,Up,2,69.5673685343763,0.3217955204998204
XOM,76.36938888304756,BUY,Up,3,54.04091361789442,-0.8781171731164545
UNH,75.60453057553207,BUY,Up,4,38.181295880046356,-1.0093790699457523
GOOGL,73.2206045891929,BUY,Up,5,37.635227168185665,-0.7720404003803227
TSM,72.15905626231816,BUY,Up,6,39.755306271359636,-0.3931342614167761
MSFT,66.14142392794565,HOLD,Up,7,75.03944705682792,-0.5343357376960656
AMD,64.64575362617056,HOLD,Up,8,41.18672370747208,1.1952395656698287
META,63.893309028478356,HOLD,Up,9,32.46259408943308,1.1599422338033278
V,61.935318538963045,HOLD,Up,10,42.85340749696942,-0.6786119364922572
PG,61.69396683929327,HOLD,Up,11,43.86483495224405,-1.4262637025209877
CVX,58.17607699598324,HOLD,Neutral,12,43.37822610701853,-1.2330078112386054
AAPL,51.52170283628566,HOLD,Neutral,13,48.04225575031574,-0.985334646351876
TSLA,48.81029895770266,HOLD,Neutral,14,33.630090052681425,-0.09279625509693323
AVGO,48.116937734585214,HOLD,Neutral,15,77.17675660200968,1.175160997352915
NFLX,47.3181940709879,HOLD,Neutral,16,74.64936896631653,0.6538811037158263
JNJ,42.879465129553594,HOLD,Neutral,17,73.06986034042505,-0.5091349270160292
JPM,39.467641834262366,SELL,Down,18,63.009794801994325,0.5412155384701394
ASML,37.24762456137712,SELL,Down,19,69.27646838142154,-1.8707160782820003
NVDA,31.83412863849428,SELL,Down,20,47.565961254530315,-0.9209612229511652
