Ticker,预期判断,平均EPS惊喜,平均价格反应,一致性评分,下次财报日期,超预期次数,低于预期次数
AAPL,Low,0.025061419676466024,5.098109332638698,0.7180036920088482,2026-03-15,1,3
MSFT,High,0.15665690174844835,-4.712558884557808,0.8947318334673298,2026-03-15,3,2
NVDA,Reasonable,-0.05318125704968392,0.6809688503658924,0.8195344397466158,2026-03-15,3,0
GOOGL,Unknown,-0.05912963197184101,7.9398889470309,0.6504485752386749,2026-03-15,2,3
META,Reasonable,0.023984843235270573,5.277991993309685,0.871429937665033,2026-03-15,5,2
TSLA,Reasonable,0.09311968637472276,4.214916044790243,0.6638056260851002,2026-03-15,2,3
AMD,Unknown,0.006927959739738476,2.640010469554209,0.3804569532531073,2026-03-15,6,0
JPM,Low,-0.018308204445014797,3.926370841397034,0.43246444440647686,2026-03-15,2,1
V,High,0.038193791175196806,3.7362333412253363,0.7781548372891128,2026-03-15,6,0
JNJ,Reasonable,0.10375626017795966,-1.7714973732820036,0.7679615055026836,2026-03-15,2,2
UNH,High,0.2292154089844696,7.779701068832697,0.5274518036529694,2026-03-15,1,2
XOM,Reasonable,0.005136725318655069,2.5167923287862584,0.33094889069490746,2026-03-15,2,2
CVX,Reasonable,-0.04040211330461411,3.1256825070778795,0.5521001598287708,2026-03-15,5,3
WMT,Reasonable,0.11621537778517194,1.1156926540944427,0.45014340150814325,2026-03-15,2,2
PG,Low,0.20082894451952701,7.46042058452765,0.5500015615056647,2026-03-15,3,2
TSM,Reasonable,-0.04175492606964438,5.417565106297031,0.8915977094734189,2026-03-15,7,0
ASML,High,-0.05192019766586065,5.269786236797215,0.8012015239866812,2026-03-15,7,3
AVGO,Reasonable,0.17969566561781833,-0.14320949136875605,0.8216914880149988,2026-03-15,4,0
CRM,Reasonable,0.17828373040447945,6.3978627233130485,0.4805143562369728,2026-03-15,5,0
NFLX,Low,0.18501638875164597,-2.8323872170807833,0.6954469749808476,2026-03-15,7,3
