Ticker,FiscalPeriod,PeriodEndDate,ReportDate,EPS_Actual,EPS_Estimate,SurprisePct,GapPct,DayChange,SurpriseClass,ReactionClass,ExpectationLevel,ExpectationComment,SignalScore
ROKU,2025 Q4,2025-12-31,2026-01-25,0.53,0.2827,0.8747790000000001,9.413536665716751e-05,0.007248423232608454,Strong Beat,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.4388
INTC,2025 Q4,2025-12-31,2026-01-25,0.15,0.0829,0.809409,-0.01752828932771243,-0.057244286665187445,Strong Beat,Negative,Expectation High,业绩已被Price In，预期过高,0.3914
AMT,2025 Q4,2025-12-31,2026-01-25,2.63,1.4936,0.7608459999999999,0.005986013986013948,0.003972027972028017,Strong Beat,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.3818
SNDK,2026 Q2,2025-12-31,2026-01-25,6.2,3.5172,0.762766,0.00560327543633799,-0.00639469852056639,Strong Beat,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.3807
MDB,2026 Q3,2025-12-31,2026-01-25,1.32,0.8048,0.640159,0.007913416438837266,0.03150317289121875,Strong Beat,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.3271
HDB,2026 Q3,2025-12-31,2026-01-25,12.08,7.5242,0.605486,0.002807236431690465,0.002807236431690465,Strong Beat,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.3036
NKE,2026 Q2,2025-12-31,2026-01-25,0.53,0.3807,0.39217199999999997,-0.0035362853628536895,-0.0007687576875770505,Strong Beat,Neutral,Expectation High,业绩已被Price In，预期过高,0.1956
ORCL,2026 Q2,2025-12-31,2026-01-25,2.26,1.6711,0.35240299999999997,0.010950553172273638,0.02980356739670355,Strong Beat,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.1832
SPLK,2024 Q3,2023-12-31,2024-01-25,1.52,1.1627,0.307302,-0.00019569471624266885,0.0003913894324853377,Strong Beat,Neutral,Expectation High,业绩已被Price In，预期过高,0.1537
GS,2025 Q4,2025-12-31,2026-01-25,14.01,12.0225,0.16531500000000002,-0.0005114922514365611,0.014125892390736569,Strong Beat,Neutral,Expectation High,业绩已被Price In，预期过高,0.0854
FDX,2026 Q2,2025-12-31,2026-01-25,4.82,4.1462,0.16251000000000002,0.0033200749482267112,0.0008546727589495669,Strong Beat,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.0818
MU,2026 Q1,2025-12-31,2026-01-25,4.78,4.072,0.17387,-0.010384086075315845,-0.026423120230201432,Strong Beat,Neutral,Expectation High,业绩已被Price In，预期过高,0.0806
PFE,2025 Q4,2025-12-31,2026-01-25,0.66,0.5775,0.142857,-0.0007797270955165526,0.008966861598440562,Strong Beat,Neutral,Expectation High,业绩已被Price In，预期过高,0.0731
AMD,2025 Q4,2025-12-31,2026-01-25,1.53,1.3324,0.148304,-0.011302372150338887,-0.032231977818853993,Strong Beat,Neutral,Expectation High,业绩已被Price In，预期过高,0.0665
CRM,2026 Q3,2025-12-31,2026-01-25,3.25,2.8867,0.125853,0.006051304538478384,0.005919754439815805,Strong Beat,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.0647
LLY,2025 Q4,2025-12-31,2026-01-25,7.54,6.7372,0.119159,-0.0019543545462232356,-0.0014469740390306812,Strong Beat,Neutral,Expectation High,业绩已被Price In，预期过高,0.0591
BMY,2025 Q4,2025-12-31,2026-01-25,1.26,1.1265,0.11850899999999999,-0.0018298261665142073,-0.0009149130832570386,Strong Beat,Neutral,Expectation High,业绩已被Price In，预期过高,0.0589
SNOW,2026 Q3,2025-12-31,2026-01-25,0.35,0.3164,0.106195,0.010014783728360887,0.0075349325194335095,Strong Beat,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.0556
ISRG,2025 Q4,2025-12-31,2026-01-25,2.53,2.303,0.098567,-8.587950151712642e-05,0.009198648829176008,Beat,Neutral,Expectation High,业绩已被Price In，预期过高,0.0511
T,2025 Q4,2025-12-31,2026-01-25,0.52,0.4719,0.101928,0.004662992793556568,-0.005934718100890232,Strong Beat,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.0503
CAT,2025 Q4,2025-12-31,2026-01-25,5.16,4.7223,0.092688,0.0022022916600172283,0.014841530752289991,Beat,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.0495
ZS,2026 Q1,2025-12-31,2026-01-25,0.96,0.8856,0.084011,0.012307985879209922,0.023518748211048598,Beat,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.0479
MA,2025 Q4,2025-12-31,2026-01-25,4.76,4.3756,0.087851,0.0037542401951443137,0.004992948888973596,Beat,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.0453
TSLA,2025 Q4,2025-12-31,2026-01-25,0.5,0.4559,0.096732,-0.00904110809245981,-0.03086447245356971,Beat,Neutral,Expectation High,业绩已被Price In，预期过高,0.0412
CMCSA,2025 Q4,2025-12-31,2026-01-25,0.84,0.7774,0.080525,-0.0003412969283276984,0.004436860068259351,Beat,Neutral,Expectation High,业绩已被Price In，预期过高,0.0411
FTNT,2025 Q4,2025-12-31,2026-01-25,0.81,0.7559,0.07157,0.00012248897599222337,0.01751592356687889,Beat,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.0393
MS,2025 Q4,2025-12-31,2026-01-25,2.68,2.5099,0.067772,0.002011173184357618,0.01608938547486031,Beat,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.0373
LRCX,2026 Q2,2025-12-31,2026-01-25,1.27,1.1935,0.064097,0.004771955584105681,0.02262090483619348,Beat,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.037
TWLO,2025 Q4,2025-12-31,2026-01-25,1.33,1.2611,0.054634999999999996,0.008028059236165246,0.04419329696024931,Beat,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.0369
NET,2025 Q4,2025-12-31,2026-01-25,0.28,0.2734,0.02414,0.06604589483394842,0.09173201107011068,Inline,Positive,Expectation Low,市场可能过于保守，仍有上涨空间,0.0367
ZM,2026 Q3,2025-12-31,2026-01-25,1.52,1.4827,0.025157,0.0102588015854511,0.11284681743996261,Inline,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.036
ELV,2025 Q4,2025-12-31,2026-01-25,3.33,3.128,0.064578,0.0007545949442138003,0.01581954400905515,Beat,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.0355
GE,2025 Q4,2025-12-31,2026-01-25,1.57,1.4695,0.06839100000000001,-0.002960492734882787,0.004049409602885622,Beat,Neutral,Expectation High,业绩已被Price In，预期过高,0.0347
META,2025 Q4,2025-12-31,2026-01-25,8.88,8.3992,0.057244,0.009662092416054419,0.020644847896047154,Beat,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.0337
UPS,2025 Q4,2025-12-31,2026-01-25,2.38,2.2236,0.070336,0.002130024078532967,-0.009353583997036535,Beat,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.0335
OKTA,2026 Q3,2025-12-31,2026-01-25,0.82,0.771,0.063554,0.0048479506390480135,0.005839576906126059,Beat,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.0334
BLK,2025 Q4,2025-12-31,2026-01-25,13.16,12.3297,0.067341,0.0032391075395384406,-0.007407669637404853,Beat,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.0325
C,2025 Q4,2025-12-31,2026-01-25,1.81,1.7082,0.059595,0.002729113478299166,0.010828417994541683,Beat,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.0322
DDOG,2025 Q4,2025-12-31,2026-01-25,0.59,0.5657,0.042956,0.0001536924613848477,0.05002689618074227,Inline,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.0315
PLTR,2025 Q4,2025-12-31,2026-01-25,0.25,0.2348,0.064736,-0.008195754716981052,-0.012558962264150916,Beat,Neutral,Expectation High,业绩已被Price In，预期过高,0.029
AAPL,2026 Q1,2025-12-31,2026-01-25,2.84,2.7257,0.041934,0.013868730849862917,0.0297129495242703,Inline,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.0283
PGR,2025 Q4,2025-12-31,2026-01-25,4.67,4.4569,0.047813999999999995,0.0003882929670436951,0.009561714313449493,Inline,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.0259
SLB,2025 Q4,2025-12-31,2026-01-25,0.78,0.7482,0.042502000000000005,0.01119023397761962,0.01119023397761962,Inline,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.0246
GOOGL,2025 Q4,2025-12-31,2026-01-25,2.82,2.7063,0.042012999999999995,-0.0003811789101332601,0.016253468728082164,Inline,Neutral,Expectation High,业绩已被Price In，预期过高,0.0242
TSM,2025 Q4,2025-12-31,2026-01-25,19.5,18.5437,0.05157,-0.006211365604562917,-0.006450264281661615,Beat,Neutral,Expectation High,业绩已被Price In，预期过高,0.0239
ACN,2026 Q1,2025-12-31,2026-01-25,3.94,3.7767,0.043239,0.007756074999110566,-0.0012808197246238077,Inline,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.0222
NOW,2025 Q4,2025-12-31,2026-01-25,0.92,0.8917,0.031737,0.010818120351588894,0.024265644955300047,Inline,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.0218
