Ticker,FiscalPeriod,PeriodEndDate,ReportDate,Hour,ReactionDate,EPS_Actual,EPS_Estimate,SurprisePct,Open,High,Low,Close,PrevClose,GapPct,IntradayPct,DayChange,SurpriseClass,ReactionClass,ExpectationLevel,ExpectationComment,SignalScore
AAPL,2026 Q1,2025-12-31,2026-01-25,amc,2026-01-26,2.84,2.7257,0.041934,251.48,256.56,249.8,255.41,248.04,0.013868730849862917,0.015627485287100392,0.0297129495242703,Inline,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.0283
AAPL,2025 Q4,2025-09-30,2025-10-25,amc,2025-10-27,1.85,1.8075,0.023513000000000003,264.88,269.12,264.6501,268.81,262.82,0.007838064074271373,0.01483690727876777,0.022791263982954148,Inline,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.0171
AAPL,2025 Q3,2025-06-30,2025-07-25,amc,2025-07-28,1.57,1.4626,0.073431,214.03,214.845,213.06,214.05,213.88,0.000701327847391087,9.344484418077014e-05,0.0007948382270432762,Beat,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.0369
AAPL,2025 Q2,2025-03-31,2025-04-25,amc,2025-04-28,1.65,1.6596,-0.005785,210.0,211.5,207.46,210.14,209.28,0.0034403669724770588,0.0006666666666666017,0.004109327217125312,Inline,Neutral,Expectation Low,市场已充分消化利空，或有反弹,-0.0017
AMZN,2025 Q4,2025-12-31,2026-01-25,amc,2026-01-26,1.95,2.011,-0.030333000000000002,239.98,240.95,237.54,238.42,239.16,0.003428667001170736,-0.006500541711809327,-0.0030941629034956057,Inline,Neutral,Expectation Low,市场已充分消化利空，或有反弹,-0.0154
AMZN,2025 Q3,2025-09-30,2025-10-25,amc,2025-10-27,1.95,1.605,0.214953,227.66,228.4,225.54,226.97,224.21,0.015387360064225452,-0.0030308354563823147,0.012309888051380362,Strong Beat,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.1115
AMZN,2025 Q2,2025-06-30,2025-07-25,amc,2025-07-28,1.68,1.3545,0.24031,233.35,234.29,232.25,232.79,231.44,0.008252678880055292,-0.0023998285836726047,0.005833045281714458,Strong Beat,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.1222
AMZN,2025 Q1,2025-03-31,2025-04-25,amc,2025-04-28,1.59,1.3893,0.144461,190.105,190.22,184.885,187.7,188.99,0.005899783057304517,-0.012650903448094481,-0.006825757976612627,Strong Beat,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.0715
GOOGL,2025 Q4,2025-12-31,2026-01-25,amc,2026-01-26,2.82,2.7063,0.042012999999999995,327.805,335.84,327.0,333.26,327.93,-0.0003811789101332601,0.01664099083296467,0.016253468728082164,Inline,Neutral,Expectation High,业绩已被Price In，预期过高,0.0242
GOOGL,2025 Q3,2025-09-30,2025-10-25,amc,2025-10-27,3.1,2.3954,0.294147,264.815,270.14,264.28,269.27,259.92,0.018832717759310485,0.016823065158695635,0.03597260695598632,Strong Beat,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.1561
GOOGL,2025 Q2,2025-06-30,2025-07-25,amc,2025-07-28,2.31,2.25,0.026667,193.65,194.05,190.84,192.58,193.18,0.002432964074955994,-0.005525432481280626,-0.0031059115850501826,Inline,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.013
GOOGL,2025 Q1,2025-03-31,2025-04-25,amc,2025-04-28,2.27,2.0726,0.09524300000000001,162.425,163.15,158.6,160.61,161.96,0.002871079278834301,-0.011174388179159597,-0.008335391454680133,Beat,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.0462
META,2025 Q4,2025-12-31,2026-01-25,amc,2026-01-26,8.88,8.3992,0.057244,665.125,675.28,661.2855,672.36,658.76,0.009662092416054419,0.0108776545762075,0.020644847896047154,Beat,Neutral,Expectation Reasonable,市场预期与业绩匹配,0.0337
