Date,Value (12m Rev) (LO),Momentum (12-1) (LO),Quality (Sharpe) (LO),Low Volatility (LO),Composite (LO),CTA,LO+CTA,AvgLO+CTA,SPY_BH
2014-01-02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2014-01-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998360294421887
2014-01-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9969391479757983
2014-01-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0030616713649028
2014-01-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0032803329145137
2014-01-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0039363175633462
2014-01-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0066696381422762
2014-01-13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9932762853714502
2014-01-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0041002881211576
2014-01-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.009512340704805
2014-01-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0082004738247274
2014-01-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0039363175633462
2014-01-21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0068882996918869
2014-01-22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0075443867583072
2014-01-23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9992893243593678
2014-01-24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9779685430524621
2014-01-27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9731579889610228
2014-01-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9789523663993295
2014-01-29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9695499197660619
2014-01-30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.979827319850536
2014-01-31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9740869164809154
2014-02-03,1.0,1.0,1.0,1.0,0.9726912486123153,1.0,0.9836147491673891,0.9967229498334779,0.9521652511873272
2014-02-04,1.0,1.0,1.0,1.0,0.9851252201398785,1.0,0.9911589135480309,0.9982518902609913,0.9588341724064897
2014-02-05,1.0,1.0,1.0,1.0,0.9789563658935257,1.0,0.9874349312069131,0.9975017638462448,0.957631789927599
2014-02-06,1.0,1.0,1.0,1.0,0.9954187116096409,1.0,0.9973978850888419,0.999514668951434,0.9702601857363435
2014-02-07,1.0,1.0,1.0,1.0,1.0067392008747802,1.0,1.0042036836454888,1.0008787174606588,0.9822873903056427
2014-02-10,1.0,1.0,1.0,1.0,1.0029336365387629,1.0,1.0019260957331928,1.0004247081185924,0.9840916809470923
2014-02-11,1.0,1.0,1.0,1.0,1.0223417411222828,1.0,1.0135592601276322,1.0027478545349529,0.994861299957763
2014-02-12,1.0,1.0,1.0,1.0,1.023310477712453,1.0,1.0141355088918742,1.0028618749449583,0.995353109213609
2014-02-13,1.0,1.0,1.0,1.0,1.0295573025508213,1.0,1.0178499984965808,1.0035965144436798,1.000492423761372
2014-02-14,1.0,1.0,1.0,1.0,1.0351606884220699,1.0,1.0211737996797663,1.0042519656962368,1.006013755911031
2014-02-18,1.0,1.0,1.0,1.0,1.0421646921506929,1.0,1.0253194198799103,1.005067350351881,1.0072164456426846
2014-02-19,1.0,1.0,1.0,1.0,1.0381006787555642,1.0,1.0229204256203304,1.004597028468332,1.000546705082821
2014-02-20,1.0,1.0,1.0,1.0,1.0387038210568482,1.0,1.0232770191139087,1.0046670696474986,1.0064511814278403
2014-02-21,1.0,1.0,1.0,1.0,1.0408759746081024,1.0,1.0245609547840733,1.0049191866917135,1.0053033875231616
2014-02-24,1.0,1.0,1.0,1.0,1.0404842583927807,1.0,1.024329608985324,1.0048738045539622,1.0108787961590946
