entry_date,exit_date,entry_price,exit_price,position,action,entry_capital,exit_capital,pnl,return_pct,holding_days
2020-01-03,2020-01-28,295.44,299.55,0.933,TRIM 0.93x,1000000.0,1012975.0,12975.0,1.3,25
2020-01-28,2020-02-03,299.55,297.01,0.95,HOLD 0.95x,1012975.0,1004811.0,-8164.0,-0.81,6
2020-02-03,2020-02-04,297.01,301.54,1.008,HOLD 1.01x,1004811.0,1020230.0,15419.0,1.53,1
2020-02-04,2020-02-06,301.54,306.05,0.95,HOLD 0.95x,1020230.0,1034712.0,14482.0,1.42,2
2020-02-06,2020-02-07,306.05,304.42,0.925,TRIM 0.93x,1034712.0,1029605.0,-5106.0,-0.49,1
2020-02-07,2020-02-10,304.42,306.69,0.908,TRIM 0.91x,1029605.0,1036572.0,6966.0,0.68,3
2020-02-10,2020-02-11,306.69,307.22,0.95,HOLD 0.95x,1036572.0,1038270.0,1699.0,0.16,1
2020-02-11,2020-02-13,307.22,308.87,0.925,TRIM 0.93x,1038270.0,1043422.0,5152.0,0.5,2
2020-02-13,2020-02-18,308.87,308.57,0.908,TRIM 0.91x,1043422.0,1042487.0,-935.0,-0.09,5
2020-02-18,2020-02-19,308.57,310.04,0.883,TRIM 0.88x,1042487.0,1046872.0,4385.0,0.42,1
2020-02-19,2020-02-21,310.04,305.59,0.933,TRIM 0.93x,1046872.0,1032835.0,-14038.0,-1.34,2
2020-02-21,2020-02-24,305.59,295.45,0.95,HOLD 0.95x,1032835.0,1000285.0,-32549.0,-3.15,3
2020-02-24,2020-02-25,295.45,286.5,0.925,TRIM 0.93x,1000285.0,972197.0,-28089.0,-2.81,1
2020-02-25,2020-02-26,286.5,285.45,1.1,BUY DIP 1.10x,972197.0,968227.0,-3970.0,-0.41,1
2020-02-26,2020-02-27,285.45,272.63,1.225,BUY DIP 1.23x,968227.0,914947.0,-53280.0,-5.5,1
2020-02-27,2020-02-28,272.63,271.48,1.267,BUY DIP 1.27x,914947.0,910053.0,-4893.0,-0.53,1
2020-02-28,2020-03-03,271.48,275.13,1.35,BUY DIP 1.35x,910053.0,925958.0,15904.0,1.75,4
2020-03-03,2020-03-04,275.13,286.69,1.108,BUY DIP 1.11x,925958.0,969055.0,43097.0,4.65,1
2020-03-04,2020-03-05,286.69,277.16,1.2,BUY DIP 1.20x,969055.0,930349.0,-38707.0,-3.99,1
2020-03-05,2020-03-06,277.16,272.58,1.017,HOLD 1.02x,930349.0,914696.0,-15653.0,-1.68,1
2020-03-06,2020-03-09,272.58,251.29,1.058,BUY DIP 1.06x,914696.0,839087.0,-75609.0,-8.27,3
2020-03-09,2020-03-10,251.29,264.3,1.192,BUY DIP 1.19x,839087.0,890821.0,51734.0,6.17,1
2020-03-10,2020-03-11,264.3,251.41,1.267,BUY DIP 1.27x,890821.0,835757.0,-55064.0,-6.18,1
2020-03-11,2020-03-12,251.41,227.36,1.092,BUY DIP 1.09x,835757.0,748407.0,-87349.0,-10.45,1
2020-03-12,2020-03-13,227.36,246.8,1.225,BUY DIP 1.23x,748407.0,826779.0,78372.0,10.47,1
2020-03-13,2020-03-16,246.8,219.79,1.233,BUY DIP 1.23x,826779.0,715225.0,-111554.0,-13.49,3
2020-03-16,2020-03-17,219.79,231.66,1.208,BUY DIP 1.21x,715225.0,761862.0,46637.0,6.52,1
2020-03-17,2020-03-18,231.66,219.93,1.258,BUY DIP 1.26x,761862.0,713333.0,-48529.0,-6.37,1
2020-03-18,2020-03-23,219.93,205.5,1.25,BUY DIP 1.25x,713333.0,655071.0,-58262.0,-8.17,5
2020-03-23,2020-03-25,205.5,227.48,1.258,BUY DIP 1.26x,655071.0,743465.0,88394.0,13.49,2
2020-03-25,2020-03-26,227.48,240.76,1.2,BUY DIP 1.20x,743465.0,795556.0,52091.0,7.01,1
2020-03-26,2020-04-09,240.76,256.43,1.192,BUY DIP 1.19x,795556.0,856613.0,61057.0,7.67,14
2020-04-09,2020-04-13,256.43,254.09,1.133,BUY DIP 1.13x,856613.0,847746.0,-8867.0,-1.04,4
2020-04-13,2020-04-16,254.09,257.26,1.108,BUY DIP 1.11x,847746.0,859394.0,11648.0,1.37,3
2020-04-16,2020-04-20,257.26,259.56,1.158,BUY DIP 1.16x,859394.0,868192.0,8797.0,1.02,4
2020-04-20,2020-04-21,259.56,251.68,1.133,BUY DIP 1.13x,868192.0,838318.0,-29874.0,-3.44,1
2020-04-21,2020-04-22,251.68,257.26,1.158,BUY DIP 1.16x,838318.0,859855.0,21537.0,2.57,1
2020-04-22,2020-04-23,257.26,257.24,1.192,BUY DIP 1.19x,859855.0,859773.0,-82.0,-0.01,1
2020-04-23,2020-04-27,257.24,264.59,1.158,BUY DIP 1.16x,859773.0,888231.0,28458.0,3.31,4
2020-04-27,2020-04-28,264.59,263.37,1.133,BUY DIP 1.13x,888231.0,883601.0,-4630.0,-0.52,1
2020-04-28,2020-04-30,263.37,267.75,1.125,BUY DIP 1.12x,883601.0,900089.0,16488.0,1.87,2
2020-04-30,2020-05-01,267.75,260.66,1.1,BUY DIP 1.10x,900089.0,873871.0,-26218.0,-2.91,1
2020-05-01,2020-05-04,260.66,261.38,1.125,BUY DIP 1.12x,873871.0,876575.0,2704.0,0.31,3
2020-05-04,2020-05-06,261.38,262.01,1.158,BUY DIP 1.16x,876575.0,878981.0,2407.0,0.27,2
2020-05-06,2020-05-11,262.01,269.61,1.092,BUY DIP 1.09x,878981.0,906848.0,27867.0,3.17,5
2020-05-11,2020-05-12,269.61,264.24,1.058,BUY DIP 1.06x,906848.0,887718.0,-19130.0,-2.11,1
2020-05-12,2020-05-13,264.24,259.57,1.033,HOLD 1.03x,887718.0,871485.0,-16233.0,-1.83,1
2020-05-13,2020-05-14,259.57,262.67,1.092,BUY DIP 1.09x,871485.0,882865.0,11380.0,1.31,1
2020-05-14,2020-05-15,262.67,263.88,1.125,BUY DIP 1.12x,882865.0,887420.0,4555.0,0.52,1
2020-05-15,2020-05-18,263.88,271.92,1.083,BUY DIP 1.08x,887420.0,916685.0,29265.0,3.3,3
2020-05-18,2020-05-19,271.92,269.12,1.05,HOLD 1.05x,916685.0,906778.0,-9907.0,-1.08,1
2020-05-19,2020-05-20,269.12,273.7,0.975,HOLD 0.97x,906778.0,921788.0,15010.0,1.66,1
2020-05-20,2020-05-21,273.7,271.81,1.008,HOLD 1.01x,921788.0,915364.0,-6424.0,-0.7,1
2020-05-21,2020-05-22,271.81,272.32,0.975,HOLD 0.97x,915364.0,917052.0,1688.0,0.18,1
2020-05-22,2020-05-27,272.32,279.78,1.0,HOLD 1.00x,917052.0,942156.0,25104.0,2.74,5
2020-05-27,2020-05-28,279.78,279.26,0.975,HOLD 0.97x,942156.0,940457.0,-1699.0,-0.18,1
2020-05-28,2020-05-29,279.26,280.51,0.958,HOLD 0.96x,940457.0,944467.0,4010.0,0.43,1
2020-05-29,2020-06-03,280.51,287.75,0.975,HOLD 0.97x,944467.0,968239.0,23772.0,2.52,5
2020-06-03,2020-06-04,287.75,287.0,0.95,HOLD 0.95x,968239.0,965816.0,-2423.0,-0.25,1
2020-06-04,2020-06-08,287.0,297.91,0.925,TRIM 0.93x,965816.0,999745.0,33929.0,3.51,4
2020-06-08,2020-06-09,297.91,295.69,0.85,TRIM 0.85x,999745.0,993391.0,-6354.0,-0.64,1
2020-06-09,2020-06-10,295.69,294.04,0.908,TRIM 0.91x,993391.0,988353.0,-5038.0,-0.51,1
2020-06-10,2020-06-11,294.04,277.09,0.925,TRIM 0.93x,988353.0,935632.0,-52721.0,-5.33,1
