entry_date,exit_date,entry_price,exit_price,position,action,entry_capital,exit_capital,pnl,return_pct,holding_days
2020-01-03,2020-03-16,295.44,219.79,1.0,HOLD 1.00x,1000000.0,743794.0,-256206.0,-25.62,73
2020-03-16,2020-05-06,219.79,262.01,1.6,BUY DIP 1.60x,743794.0,968842.0,225048.0,30.26,51
2020-05-06,2020-05-18,262.01,271.92,1.4,BUY DIP 1.40x,968842.0,1019838.0,50996.0,5.26,12
2020-05-18,2020-05-19,271.92,269.12,1.2,BUY DIP 1.20x,1019838.0,1007192.0,-12646.0,-1.24,1
2020-05-19,2020-05-20,269.12,273.7,0.95,HOLD 0.95x,1007192.0,1023431.0,16239.0,1.61,1
2020-05-20,2020-05-21,273.7,271.81,1.0,HOLD 1.00x,1023431.0,1016350.0,-7081.0,-0.69,1
2020-05-21,2020-06-11,271.81,277.09,0.95,HOLD 0.95x,1016350.0,1035213.0,18863.0,1.86,21
2020-06-11,2020-06-12,277.09,280.41,1.0,HOLD 1.00x,1035213.0,1047485.0,12272.0,1.19,1
2020-06-12,2020-06-16,280.41,288.47,1.4,BUY DIP 1.40x,1047485.0,1089706.0,42220.0,4.03,4
2020-06-16,2020-06-25,288.47,284.55,1.2,BUY DIP 1.20x,1089706.0,1071760.0,-17945.0,-1.65,9
2020-06-25,2020-06-26,284.55,277.79,1.4,BUY DIP 1.40x,1071760.0,1036060.0,-35700.0,-3.33,1
2020-06-26,2020-06-29,277.79,281.87,1.2,BUY DIP 1.20x,1036060.0,1054270.0,18210.0,1.76,3
2020-06-29,2020-07-01,281.87,287.48,1.4,BUY DIP 1.40x,1054270.0,1083636.0,29366.0,2.79,2
2020-07-01,2020-07-06,287.48,293.53,1.2,BUY DIP 1.20x,1083636.0,1110937.0,27301.0,2.52,5
2020-07-06,2020-07-15,293.53,297.97,1.0,HOLD 1.00x,1110937.0,1127739.0,16802.0,1.51,9
2020-07-15,2020-07-24,297.97,297.07,0.95,HOLD 0.95x,1127739.0,1124501.0,-3238.0,-0.29,9
2020-07-24,2020-07-30,297.07,299.92,1.0,HOLD 1.00x,1124501.0,1135278.0,10777.0,0.96,6
2020-07-30,2020-09-04,299.92,317.15,0.95,HOLD 0.95x,1135278.0,1197125.0,61847.0,5.45,36
2020-09-04,2020-09-09,317.15,314.58,1.2,BUY DIP 1.20x,1197125.0,1185241.0,-11884.0,-0.99,5
2020-09-09,2020-09-16,314.58,313.68,1.4,BUY DIP 1.40x,1185241.0,1180264.0,-4977.0,-0.42,7
2020-09-16,2020-09-17,313.68,310.92,1.2,BUY DIP 1.20x,1180264.0,1167737.0,-12527.0,-1.06,1
2020-09-17,2020-10-06,310.92,311.32,1.4,BUY DIP 1.40x,1167737.0,1169048.0,1311.0,0.11,19
2020-10-06,2020-10-07,311.32,316.74,1.2,BUY DIP 1.20x,1169048.0,1193396.0,24348.0,2.08,1
2020-10-07,2020-10-08,316.74,319.55,1.4,BUY DIP 1.40x,1193396.0,1208131.0,14735.0,1.23,1
2020-10-08,2020-10-12,319.55,327.59,1.2,BUY DIP 1.20x,1208131.0,1244575.0,36445.0,3.02,4
2020-10-12,2020-10-20,327.59,319.18,1.0,HOLD 1.00x,1244575.0,1212544.0,-32032.0,-2.57,8
2020-10-20,2020-10-26,319.18,315.47,1.2,BUY DIP 1.20x,1212544.0,1195527.0,-17016.0,-1.4,6
2020-10-26,2020-10-27,315.47,314.38,1.0,HOLD 1.00x,1195527.0,1191335.0,-4193.0,-0.35,1
2020-10-27,2020-10-28,314.38,303.64,1.2,BUY DIP 1.20x,1191335.0,1142404.0,-48931.0,-4.11,1
2020-10-28,2020-11-05,303.64,325.55,1.4,BUY DIP 1.40x,1142404.0,1258896.0,116493.0,10.2,8
2020-11-05,2020-11-06,325.55,325.48,1.2,BUY DIP 1.20x,1258896.0,1258476.0,-420.0,-0.03,1
2020-11-06,2020-11-10,325.48,329.09,1.0,HOLD 1.00x,1258476.0,1272402.0,13926.0,1.11,4
2020-11-10,2020-11-19,329.09,332.56,0.95,HOLD 0.95x,1272402.0,1285169.0,12768.0,1.0,9
2020-11-19,2020-11-25,332.56,337.1,1.0,HOLD 1.00x,1285169.0,1302679.0,17509.0,1.36,6
2020-11-25,2020-12-14,337.1,338.96,0.95,HOLD 0.95x,1302679.0,1309494.0,6815.0,0.52,19
2020-12-14,2020-12-16,338.96,344.08,1.0,HOLD 1.00x,1309494.0,1329260.0,19767.0,1.51,2
2020-12-16,2021-01-05,344.08,346.63,0.95,HOLD 0.95x,1329260.0,1338609.0,9348.0,0.7,20
2021-01-05,2021-01-06,346.63,348.7,1.0,HOLD 1.00x,1338609.0,1346591.0,7983.0,0.6,1
2021-01-06,2021-01-19,348.7,353.46,0.95,HOLD 0.95x,1346591.0,1364044.0,17453.0,1.3,13
2021-01-19,2021-01-20,353.46,358.35,1.0,HOLD 1.00x,1364044.0,1382900.0,18856.0,1.38,1
2021-01-20,2021-01-28,358.35,352.51,0.95,HOLD 0.95x,1382900.0,1361471.0,-21429.0,-1.55,8
2021-01-28,2021-02-01,352.51,351.2,1.0,HOLD 1.00x,1361471.0,1356343.0,-5128.0,-0.38,4
2021-02-01,2021-02-02,351.2,356.17,1.2,BUY DIP 1.20x,1356343.0,1379275.0,22932.0,1.69,1
2021-02-02,2021-02-03,356.17,356.45,1.0,HOLD 1.00x,1379275.0,1380338.0,1064.0,0.08,1
2021-02-03,2021-02-23,356.45,361.72,0.95,HOLD 0.95x,1380338.0,1399723.0,19385.0,1.4,20
2021-02-23,2021-02-25,361.72,356.9,1.0,HOLD 1.00x,1399723.0,1381027.0,-18696.0,-1.34,2
2021-02-25,2021-02-26,356.9,355.06,0.95,HOLD 0.95x,1381027.0,1374247.0,-6781.0,-0.49,1
2021-02-26,2021-03-01,355.06,363.66,1.0,HOLD 1.00x,1374247.0,1407474.0,33227.0,2.42,3
2021-03-01,2021-03-02,363.66,360.83,1.2,BUY DIP 1.20x,1407474.0,1394190.0,-13284.0,-0.94,1
2021-03-02,2021-03-03,360.83,356.05,0.95,HOLD 0.95x,1394190.0,1376626.0,-17564.0,-1.26,1
2021-03-03,2021-03-05,356.05,358.11,1.0,HOLD 1.00x,1376626.0,1384519.0,7894.0,0.57,2
2021-03-05,2021-03-08,358.11,356.33,1.2,BUY DIP 1.20x,1384519.0,1376165.0,-8354.0,-0.6,3
2021-03-08,2021-03-11,356.33,367.35,1.0,HOLD 1.00x,1376165.0,1418720.0,42556.0,3.09,3
2021-03-11,2021-03-19,367.35,364.76,0.95,HOLD 0.95x,1418720.0,1409205.0,-9516.0,-0.67,8
2021-03-19,2021-03-23,364.76,364.78,1.0,HOLD 1.00x,1409205.0,1409256.0,51.0,0.0,4
2021-03-23,2021-03-24,364.78,362.93,0.95,HOLD 0.95x,1409256.0,1402429.0,-6827.0,-0.48,1
2021-03-24,2021-03-29,362.93,370.66,1.0,HOLD 1.00x,1402429.0,1432301.0,29872.0,2.13,5
2021-03-29,2021-04-21,370.66,389.66,0.95,HOLD 0.95x,1432301.0,1501973.0,69672.0,4.86,23
2021-04-21,2021-04-22,389.66,386.1,1.0,HOLD 1.00x,1501973.0,1488233.0,-13740.0,-0.91,1
2021-04-22,2021-04-23,386.1,390.29,0.95,HOLD 0.95x,1488233.0,1503540.0,15307.0,1.03,1
2021-04-23,2021-04-26,390.29,391.11,1.0,HOLD 1.00x,1503540.0,1506656.0,3116.0,0.21,3
2021-04-26,2021-05-05,391.11,389.36,0.95,HOLD 0.95x,1506656.0,1500262.0,-6393.0,-0.42,9
2021-05-05,2021-05-07,389.36,395.33,1.0,HOLD 1.00x,1500262.0,1523226.0,22964.0,1.53,2
2021-05-07,2021-05-12,395.33,379.68,0.95,HOLD 0.95x,1523226.0,1465886.0,-57340.0,-3.76,5
2021-05-12,2021-05-13,379.68,384.24,1.0,HOLD 1.00x,1465886.0,1483406.0,17520.0,1.2,1
