entry_date,exit_date,entry_price,exit_price,position,action,entry_capital,exit_capital,pnl,return_pct,holding_days
2020-01-03,2020-02-25,295.44,286.5,1.0,HOLD 1.00x,1000000.0,969669.0,-30331.0,-3.03,53
2020-02-25,2020-02-26,286.5,285.45,1.2,BUY DIP 1.20x,969669.0,965331.0,-4338.0,-0.45,1
2020-02-26,2020-02-27,285.45,272.63,1.4,BUY DIP 1.40x,965331.0,904581.0,-60751.0,-6.29,1
2020-02-27,2020-03-03,272.63,275.13,1.6,BUY DIP 1.60x,904581.0,916578.0,11998.0,1.33,5
2020-03-03,2020-03-10,275.13,264.3,1.0,HOLD 1.00x,916578.0,880441.0,-36137.0,-3.94,7
2020-03-10,2020-03-11,264.3,251.41,1.2,BUY DIP 1.20x,880441.0,828887.0,-51554.0,-5.86,1
2020-03-11,2020-06-12,251.41,280.41,1.0,HOLD 1.00x,828887.0,924418.0,95531.0,11.53,93
2020-06-12,2020-06-15,280.41,283.02,1.2,BUY DIP 1.20x,924418.0,934718.0,10300.0,1.11,3
2020-06-15,2020-09-09,283.02,314.58,1.0,HOLD 1.00x,934718.0,1038874.0,104156.0,11.14,86
2020-09-09,2020-09-10,314.58,309.12,1.2,BUY DIP 1.20x,1038874.0,1017167.0,-21708.0,-2.09,1
2020-09-10,2020-09-21,309.12,303.92,1.0,HOLD 1.00x,1017167.0,1000013.0,-17154.0,-1.69,11
2020-09-21,2020-09-22,303.92,307.02,1.2,BUY DIP 1.20x,1000013.0,1012174.0,12161.0,1.22,1
2020-09-22,2020-09-23,307.02,299.9,1.4,BUY DIP 1.40x,1012174.0,979194.0,-32980.0,-3.26,1
2020-09-23,2020-10-16,299.9,322.81,1.0,HOLD 1.00x,979194.0,1053941.0,74748.0,7.63,23
2020-10-16,2020-10-19,322.81,317.9,1.2,BUY DIP 1.20x,1053941.0,1034651.0,-19290.0,-1.83,3
2020-10-19,2020-10-20,317.9,319.18,1.4,BUY DIP 1.40x,1034651.0,1040391.0,5740.0,0.55,1
2020-10-20,2020-10-21,319.18,318.57,1.6,BUY DIP 1.60x,1040391.0,1037053.0,-3338.0,-0.32,1
