entry_date,exit_date,entry_price,exit_price,position,action,entry_capital,exit_capital,pnl,return_pct,holding_days
2020-01-03,2020-02-18,295.44,308.57,1.0,HOLD 1.00x,1000000.0,1044368.0,44368.0,4.44,46
2020-02-18,2020-02-19,308.57,310.04,0.85,TRIM 0.85x,1044368.0,1048565.0,4197.0,0.4,1
2020-02-19,2020-02-24,310.04,295.45,1.0,HOLD 1.00x,1048565.0,999182.0,-49383.0,-4.71,5
2020-02-24,2020-02-25,295.45,286.5,0.85,TRIM 0.85x,999182.0,973402.0,-25780.0,-2.58,1
2020-02-25,2020-02-26,286.5,285.45,1.0,HOLD 1.00x,973402.0,969676.0,-3726.0,-0.38,1
2020-02-26,2020-02-28,285.45,271.48,1.5,BUY DIP 1.50x,969676.0,898572.0,-71105.0,-7.33,2
2020-02-28,2020-03-03,271.48,275.13,1.8,BUY DIP 1.80x,898572.0,918613.0,20042.0,2.23,4
2020-03-03,2020-03-05,275.13,277.16,1.5,BUY DIP 1.50x,918613.0,927700.0,9087.0,0.99,2
2020-03-05,2020-03-09,277.16,251.29,1.0,HOLD 1.00x,927700.0,840987.0,-86713.0,-9.35,4
2020-03-09,2020-03-11,251.29,251.41,1.5,BUY DIP 1.50x,840987.0,839868.0,-1119.0,-0.13,2
2020-03-11,2020-03-12,251.41,227.36,1.0,HOLD 1.00x,839868.0,759398.0,-80470.0,-9.58,1
2020-03-12,2020-03-16,227.36,219.79,1.5,BUY DIP 1.50x,759398.0,716040.0,-43358.0,-5.71,4
2020-03-16,2020-04-13,219.79,254.09,1.0,HOLD 1.00x,716040.0,827749.0,111708.0,15.6,28
2020-04-13,2020-04-16,254.09,257.26,0.85,TRIM 0.85x,827749.0,836553.0,8805.0,1.06,3
2020-04-16,2020-04-27,257.26,264.59,1.0,HOLD 1.00x,836553.0,860344.0,23790.0,2.84,11
2020-04-27,2020-04-28,264.59,263.37,0.85,TRIM 0.85x,860344.0,856942.0,-3401.0,-0.4,1
2020-04-28,2020-05-12,263.37,264.24,1.0,HOLD 1.00x,856942.0,859722.0,2780.0,0.32,14
2020-05-12,2020-05-13,264.24,259.57,0.85,TRIM 0.85x,859722.0,846760.0,-12962.0,-1.51,1
2020-05-13,2020-06-03,259.57,287.75,1.0,HOLD 1.00x,846760.0,938671.0,91910.0,10.85,21
2020-06-03,2020-06-04,287.75,287.0,0.85,TRIM 0.85x,938671.0,936533.0,-2138.0,-0.23,1
2020-06-04,2020-06-11,287.0,277.09,0.7,TRIM 0.70x,936533.0,914163.0,-22370.0,-2.39,7
2020-06-11,2020-06-12,277.09,280.41,0.85,TRIM 0.85x,914163.0,923427.0,9264.0,1.01,1
2020-06-12,2020-07-20,280.41,300.26,1.0,HOLD 1.00x,923427.0,988758.0,65331.0,7.07,38
2020-07-20,2020-07-24,300.26,297.07,0.85,TRIM 0.85x,988758.0,979807.0,-8952.0,-0.91,4
2020-07-24,2020-08-07,297.07,309.75,1.0,HOLD 1.00x,979807.0,1021563.0,41756.0,4.26,14
2020-08-07,2020-08-10,309.75,310.67,0.85,TRIM 0.85x,1021563.0,1024112.0,2549.0,0.25,3
2020-08-10,2020-08-13,310.67,311.84,1.0,HOLD 1.00x,1024112.0,1027911.0,3799.0,0.37,3
2020-08-13,2020-08-18,311.84,313.52,0.85,TRIM 0.85x,1027911.0,1032559.0,4648.0,0.45,5
2020-08-18,2020-08-19,313.52,312.21,0.7,TRIM 0.70x,1032559.0,1029503.0,-3056.0,-0.3,1
2020-08-19,2020-08-31,312.21,323.39,0.85,TRIM 0.85x,1029503.0,1060739.0,31235.0,3.03,12
2020-08-31,2020-09-04,323.39,317.15,0.7,TRIM 0.70x,1060739.0,1046451.0,-14288.0,-1.35,4
2020-09-04,2020-09-24,317.15,300.7,1.0,HOLD 1.00x,1046451.0,992004.0,-54446.0,-5.2,20
2020-09-24,2020-09-25,300.7,305.56,1.5,BUY DIP 1.50x,992004.0,1015909.0,23904.0,2.41,1
2020-09-25,2020-10-14,305.56,323.41,1.0,HOLD 1.00x,1015909.0,1075196.0,59287.0,5.84,19
2020-10-14,2020-10-16,323.41,322.81,0.85,TRIM 0.85x,1075196.0,1073466.0,-1730.0,-0.16,2
2020-10-16,2020-11-02,322.81,306.93,1.0,HOLD 1.00x,1073466.0,1020397.0,-53070.0,-4.94,17
2020-11-02,2020-11-03,306.93,312.34,1.8,BUY DIP 1.80x,1020397.0,1052730.0,32334.0,3.17,1
2020-11-03,2020-11-04,312.34,319.33,1.5,BUY DIP 1.50x,1052730.0,1087859.0,35128.0,3.34,1
2020-11-04,2020-11-18,319.33,331.17,1.0,HOLD 1.00x,1087859.0,1128100.0,40241.0,3.7,14
2020-11-18,2020-11-19,331.17,332.56,0.7,TRIM 0.70x,1128100.0,1131374.0,3274.0,0.29,1
2020-11-19,2020-11-20,332.56,330.28,0.85,TRIM 0.85x,1131374.0,1124738.0,-6636.0,-0.59,1
2020-11-20,2020-11-23,330.28,332.26,0.7,TRIM 0.70x,1124738.0,1129407.0,4669.0,0.42,3
2020-11-23,2020-11-27,332.26,338.04,0.85,TRIM 0.85x,1129407.0,1146030.0,16624.0,1.47,4
2020-11-27,2020-12-14,338.04,338.96,1.0,HOLD 1.00x,1146030.0,1149098.0,3068.0,0.27,17
2020-12-14,2020-12-15,338.96,343.54,0.85,TRIM 0.85x,1149098.0,1162251.0,13153.0,1.14,1
2020-12-15,2021-01-04,343.54,344.26,1.0,HOLD 1.00x,1162251.0,1164626.0,2375.0,0.2,20
2021-01-04,2021-01-05,344.26,346.63,0.85,TRIM 0.85x,1164626.0,1171392.0,6765.0,0.58,1
2021-01-05,2021-01-14,346.63,353.28,1.0,HOLD 1.00x,1171392.0,1193830.0,22438.0,1.92,9
2021-01-14,2021-01-15,353.28,350.71,0.85,TRIM 0.85x,1193830.0,1186377.0,-7454.0,-0.62,1
2021-01-15,2021-01-26,350.71,358.26,1.0,HOLD 1.00x,1186377.0,1211868.0,25492.0,2.15,11
2021-01-26,2021-01-28,358.26,352.51,0.85,TRIM 0.85x,1211868.0,1195314.0,-16555.0,-1.37,2
2021-01-28,2021-02-18,352.51,364.73,1.0,HOLD 1.00x,1195314.0,1236692.0,41378.0,3.46,21
2021-02-18,2021-02-19,364.73,364.08,0.85,TRIM 0.85x,1236692.0,1234780.0,-1912.0,-0.15,1
2021-02-19,2021-02-22,364.08,361.28,1.0,HOLD 1.00x,1234780.0,1225172.0,-9608.0,-0.78,3
2021-02-22,2021-02-23,361.28,361.72,0.7,TRIM 0.70x,1225172.0,1226158.0,986.0,0.08,1
2021-02-23,2021-02-24,361.72,365.71,0.85,TRIM 0.85x,1226158.0,1237588.0,11429.0,0.93,1
2021-02-24,2021-02-25,365.71,356.9,1.0,HOLD 1.00x,1237588.0,1207712.0,-29875.0,-2.41,1
2021-02-25,2021-02-26,356.9,355.06,0.85,TRIM 0.85x,1207712.0,1202369.0,-5343.0,-0.44,1
2021-02-26,2021-04-09,355.06,385.37,1.0,HOLD 1.00x,1202369.0,1304976.0,102607.0,8.53,42
2021-04-09,2021-04-12,385.37,385.51,0.85,TRIM 0.85x,1304976.0,1305322.0,346.0,0.03,3
2021-04-12,2021-04-13,385.51,386.66,0.7,TRIM 0.70x,1305322.0,1307971.0,2649.0,0.2,1
2021-04-13,2021-04-14,386.66,385.34,0.85,TRIM 0.85x,1307971.0,1304116.0,-3856.0,-0.29,1
2021-04-14,2021-04-21,385.34,389.66,0.7,TRIM 0.70x,1304116.0,1314330.0,10214.0,0.78,7
2021-04-21,2021-04-23,389.66,390.29,0.85,TRIM 0.85x,1314330.0,1316087.0,1757.0,0.13,2
2021-04-23,2021-06-03,390.29,392.19,1.0,HOLD 1.00x,1316087.0,1322438.0,6351.0,0.48,41
2021-06-03,2021-06-04,392.19,395.78,0.85,TRIM 0.85x,1322438.0,1332659.0,10220.0,0.77,1
2021-06-04,2021-06-09,395.78,394.89,1.0,HOLD 1.00x,1332659.0,1329603.0,-3056.0,-0.23,5
2021-06-09,2021-06-17,394.89,395.19,0.85,TRIM 0.85x,1329603.0,1330406.0,803.0,0.06,8
2021-06-17,2021-07-08,395.19,404.89,1.0,HOLD 1.00x,1330406.0,1363007.0,32601.0,2.45,21
2021-07-08,2021-07-09,404.89,409.21,0.85,TRIM 0.85x,1363007.0,1375313.0,12306.0,0.9,1
2021-07-09,2021-07-12,409.21,410.68,1.0,HOLD 1.00x,1375313.0,1380115.0,4802.0,0.35,3
2021-07-12,2021-07-14,410.68,409.89,0.7,TRIM 0.70x,1380115.0,1378198.0,-1917.0,-0.14,2
2021-07-14,2021-07-16,409.89,405.29,0.85,TRIM 0.85x,1378198.0,1364973.0,-13224.0,-0.96,2
2021-07-16,2021-08-09,405.29,415.42,1.0,HOLD 1.00x,1364973.0,1399055.0,34082.0,2.5,24
2021-08-09,2021-08-11,415.42,416.97,0.85,TRIM 0.85x,1399055.0,1403430.0,4374.0,0.31,2
2021-08-11,2021-08-17,416.97,417.22,1.0,HOLD 1.00x,1403430.0,1404189.0,759.0,0.05,6
2021-08-17,2021-08-18,417.22,412.65,0.85,TRIM 0.85x,1404189.0,1391063.0,-13126.0,-0.93,1
2021-08-18,2021-09-09,412.65,421.86,1.0,HOLD 1.00x,1391063.0,1422039.0,30977.0,2.23,22
2021-09-09,2021-09-10,421.86,418.53,0.85,TRIM 0.85x,1422039.0,1412445.0,-9594.0,-0.67,1
2021-09-10,2021-09-21,418.53,408.74,1.0,HOLD 1.00x,1412445.0,1379195.0,-33250.0,-2.35,11
2021-09-21,2021-09-23,408.74,417.74,1.5,BUY DIP 1.50x,1379195.0,1424666.0,45470.0,3.3,2
2021-09-23,2021-10-21,417.74,427.56,1.0,HOLD 1.00x,1424666.0,1458064.0,33399.0,2.34,28
2021-10-21,2021-10-25,427.56,429.4,0.85,TRIM 0.85x,1458064.0,1463355.0,5291.0,0.36,4
2021-10-25,2021-10-28,429.4,432.02,0.7,TRIM 0.70x,1463355.0,1469529.0,6174.0,0.42,3
2021-10-28,2021-10-29,432.02,432.89,0.85,TRIM 0.85x,1469529.0,1471998.0,2469.0,0.17,1
2021-10-29,2021-11-11,432.89,437.15,0.7,TRIM 0.70x,1471998.0,1482017.0,10019.0,0.68,13
2021-11-11,2021-11-12,437.15,440.45,1.0,HOLD 1.00x,1482017.0,1493134.0,11117.0,0.75,1
2021-11-12,2021-11-22,440.45,440.74,0.85,TRIM 0.85x,1493134.0,1493886.0,752.0,0.05,10
2021-11-22,2022-01-18,440.74,431.8,1.0,HOLD 1.00x,1493886.0,1463390.0,-30496.0,-2.04,57
2022-01-18,2022-01-20,431.8,422.59,1.5,BUY DIP 1.50x,1463390.0,1416552.0,-46837.0,-3.2,2
2022-01-20,2022-01-31,422.59,425.58,1.8,BUY DIP 1.80x,1416552.0,1432742.0,16190.0,1.14,11
2022-01-31,2022-02-24,425.58,405.14,1.0,HOLD 1.00x,1432742.0,1363720.0,-69022.0,-4.82,24
2022-02-24,2022-02-25,405.14,414.08,1.5,BUY DIP 1.50x,1363720.0,1408642.0,44922.0,3.29,1
2022-02-25,2022-03-28,414.08,432.59,1.0,HOLD 1.00x,1408642.0,1471572.0,62929.0,4.47,31
2022-03-28,2022-04-06,432.59,423.68,0.85,TRIM 0.85x,1471572.0,1445775.0,-25797.0,-1.75,9
2022-04-06,2022-04-25,423.68,406.6,1.0,HOLD 1.00x,1445775.0,1387253.0,-58522.0,-4.05,19
2022-04-25,2022-04-29,406.6,390.93,1.5,BUY DIP 1.50x,1387253.0,1306212.0,-81041.0,-5.84,4
2022-04-29,2022-05-02,390.93,393.28,1.0,HOLD 1.00x,1306212.0,1313877.0,7665.0,0.59,3
2022-05-02,2022-05-03,393.28,395.09,1.5,BUY DIP 1.50x,1313877.0,1322713.0,8836.0,0.67,1
2022-05-03,2022-05-10,395.09,378.68,1.0,HOLD 1.00x,1322713.0,1267598.0,-55115.0,-4.17,7
2022-05-10,2022-05-13,378.68,381.18,1.5,BUY DIP 1.50x,1267598.0,1279568.0,11970.0,0.94,3
2022-05-13,2022-05-25,381.18,377.05,1.0,HOLD 1.00x,1279568.0,1265522.0,-14046.0,-1.1,12
2022-05-25,2022-05-26,377.05,384.58,1.5,BUY DIP 1.50x,1265522.0,1303257.0,37735.0,2.98,1
2022-05-26,2022-06-17,384.58,348.65,1.0,HOLD 1.00x,1303257.0,1181312.0,-121945.0,-9.36,22
2022-06-17,2022-06-22,348.65,356.78,1.5,BUY DIP 1.50x,1181312.0,1222401.0,41090.0,3.48,5
2022-06-22,2022-06-24,356.78,371.73,1.0,HOLD 1.00x,1222401.0,1273439.0,51037.0,4.18,2
2022-06-24,2022-06-27,371.73,370.31,1.5,BUY DIP 1.50x,1273439.0,1265953.0,-7486.0,-0.59,3
2022-06-27,2022-07-11,370.31,366.15,1.0,HOLD 1.00x,1265953.0,1251692.0,-14260.0,-1.13,14
2022-07-11,2022-07-12,366.15,362.91,0.85,TRIM 0.85x,1251692.0,1242222.0,-9470.0,-0.76,1
2022-07-12,2022-07-22,362.91,376.5,1.0,HOLD 1.00x,1242222.0,1288678.0,46456.0,3.74,10
2022-07-22,2022-07-25,376.5,376.96,0.85,TRIM 0.85x,1288678.0,1289951.0,1273.0,0.1,3
2022-07-25,2022-08-01,376.96,391.45,1.0,HOLD 1.00x,1289951.0,1339458.0,49507.0,3.84,7
2022-08-01,2022-08-10,391.45,400.23,0.85,TRIM 0.85x,1339458.0,1364973.0,25515.0,1.9,9
2022-08-10,2022-08-11,400.23,400.23,1.0,HOLD 1.00x,1364973.0,1364911.0,-61.0,-0.0,1
2022-08-11,2022-08-16,400.23,409.49,0.85,TRIM 0.85x,1364911.0,1391652.0,26741.0,1.96,5
2022-08-16,2022-08-18,409.49,407.76,0.7,TRIM 0.70x,1391652.0,1387492.0,-4160.0,-0.3,2
2022-08-18,2022-08-22,407.76,393.9,0.85,TRIM 0.85x,1387492.0,1347307.0,-40186.0,-2.9,4
2022-08-22,2022-09-01,393.9,377.77,1.0,HOLD 1.00x,1347307.0,1291930.0,-55377.0,-4.11,10
2022-09-01,2022-09-06,377.77,372.38,1.5,BUY DIP 1.50x,1291930.0,1264186.0,-27744.0,-2.15,5
2022-09-06,2022-09-08,372.38,381.54,1.8,BUY DIP 1.80x,1264186.0,1320301.0,56115.0,4.44,2
2022-09-08,2022-09-12,381.54,391.64,1.5,BUY DIP 1.50x,1320301.0,1372644.0,52342.0,3.96,4
2022-09-12,2022-09-28,391.64,354.55,1.0,HOLD 1.00x,1372644.0,1242471.0,-130173.0,-9.48,16
2022-09-28,2022-09-29,354.55,347.14,1.5,BUY DIP 1.50x,1242471.0,1203359.0,-39112.0,-3.15,1
