entry_date,exit_date,entry_price,exit_price,position,action,entry_capital,exit_capital,pnl,return_pct,holding_days
2020-01-03,2020-02-03,295.44,297.01,0.7,TRIM 0.70x,1000000.0,1003810.0,3810.0,0.38,31
2020-02-03,2020-02-04,297.01,301.54,0.75,TRIM 0.75x,1003810.0,1015269.0,11459.0,1.14,1
2020-02-04,2020-02-25,301.54,286.5,0.7,TRIM 0.70x,1015269.0,979787.0,-35483.0,-3.49,21
2020-02-25,2020-02-26,286.5,285.45,0.7999999999999999,TRIM 0.80x,979787.0,976889.0,-2898.0,-0.3,1
2020-02-26,2020-02-27,285.45,272.63,0.85,TRIM 0.85x,976889.0,939582.0,-37307.0,-3.82,1
2020-02-27,2020-03-03,272.63,275.13,0.8999999999999999,TRIM 0.90x,939582.0,947437.0,7855.0,0.84,5
2020-03-03,2020-03-04,275.13,286.69,0.85,TRIM 0.85x,947437.0,981272.0,33835.0,3.57,1
2020-03-04,2020-03-05,286.69,277.16,0.8999999999999999,TRIM 0.90x,981272.0,951886.0,-29386.0,-2.99,1
2020-03-05,2020-03-06,277.16,272.58,0.7999999999999999,TRIM 0.80x,951886.0,939283.0,-12603.0,-1.32,1
2020-03-06,2020-03-10,272.58,264.3,0.85,TRIM 0.85x,939283.0,915490.0,-23793.0,-2.53,4
2020-03-10,2020-03-11,264.3,251.41,0.8999999999999999,TRIM 0.90x,915490.0,875311.0,-40179.0,-4.39,1
2020-03-11,2020-03-13,251.41,246.8,0.85,TRIM 0.85x,875311.0,862544.0,-12768.0,-1.46,2
2020-03-13,2020-03-16,246.8,219.79,0.8999999999999999,TRIM 0.90x,862544.0,777587.0,-84956.0,-9.85,3
2020-03-16,2020-03-18,219.79,219.93,0.95,HOLD 0.95x,777587.0,778139.0,551.0,0.07,2
2020-03-18,2020-03-23,219.93,205.5,0.8999999999999999,TRIM 0.90x,778139.0,732134.0,-46005.0,-5.91,5
2020-03-23,2020-03-25,205.5,227.48,0.95,HOLD 0.95x,732134.0,806447.0,74313.0,10.15,2
2020-03-25,2020-03-26,227.48,240.76,0.8999999999999999,TRIM 0.90x,806447.0,848814.0,42367.0,5.25,1
