date,close,losing_streak_pos,rsi_dip_pos,dd_dip_pos,bb_dip_pos,vix_spike_pos,vix,trend_filtered_pos,composite_pos,rsi,drawdown_pct,bb_pct,down_streak,ma200,vol_21,trend
2020-01-02,297.698974609375,1.0,1.0,1.0,1.0,0.9,12.470000267028809,0.7,0.933,,,,0,,,DOWN
2020-01-03,295.44482421875,1.0,1.0,1.0,1.0,0.9,14.020000457763672,0.7,0.933,,,,1,,,DOWN
2020-01-06,296.5719299316406,1.0,1.0,1.0,1.0,0.9,13.850000381469727,0.7,0.933,,,,0,,,DOWN
2020-01-07,295.7379455566406,1.0,1.0,1.0,1.0,0.9,13.789999961853027,0.7,0.933,,,,1,,,DOWN
2020-01-08,297.3141174316406,1.0,1.0,1.0,1.0,0.9,13.449999809265137,0.7,0.933,,,,0,,,DOWN
2020-01-09,299.3301696777344,1.0,1.0,1.0,1.0,0.9,12.539999961853027,0.7,0.933,,,,0,,,DOWN
2020-01-10,298.46868896484375,1.0,1.0,1.0,1.0,0.9,12.5600004196167,0.7,0.933,,,,1,,,DOWN
2020-01-13,300.52130126953125,1.0,1.0,1.0,1.0,0.9,12.319999694824219,0.7,0.933,,,,0,,,DOWN
2020-01-14,300.0631408691406,1.0,1.0,1.0,1.0,0.9,12.390000343322754,0.7,0.933,,,,1,,,DOWN
2020-01-15,300.7413330078125,1.0,1.0,1.0,1.0,0.9,12.420000076293945,0.7,0.933,,,,0,,,DOWN
2020-01-16,303.24298095703125,1.0,1.0,1.0,1.0,0.9,12.319999694824219,0.7,0.933,,,,0,,,DOWN
2020-01-17,304.18682861328125,1.0,1.0,1.0,1.0,0.9,12.100000381469727,0.7,0.933,,,,0,,,DOWN
2020-01-21,303.5912170410156,1.0,1.0,1.0,1.0,0.9,12.850000381469727,0.7,0.933,,,,1,,,DOWN
2020-01-22,303.6278381347656,1.0,1.0,1.0,1.0,0.9,12.90999984741211,0.7,0.933,,,,0,,,DOWN
2020-01-23,303.97613525390625,1.0,1.0,1.0,1.0,0.9,12.979999542236328,0.7,0.933,69.3,,,0,,,DOWN
2020-01-24,301.2727966308594,1.0,1.0,1.0,1.0,0.9,14.5600004196167,0.7,0.933,67.4,,,1,,,DOWN
2020-01-27,296.4435729980469,1.0,1.0,1.0,1.0,1.0,18.229999542236328,0.7,0.95,49.7,,,2,,,DOWN
2020-01-28,299.5500183105469,1.0,1.0,1.0,1.0,1.0,16.280000686645508,0.7,0.95,58.4,,,0,,,DOWN
2020-01-29,299.3025817871094,1.0,1.0,1.0,1.0,1.0,16.389999389648438,0.7,0.95,54.7,,,1,,,DOWN
2020-01-30,300.27398681640625,1.0,1.0,1.0,1.0,1.0,15.489999771118164,0.7,0.95,52.3,,0.536,0,,,DOWN
2020-01-31,294.82159423828125,1.0,1.0,1.0,1.3,1.0,18.84000015258789,0.75,1.008,42.7,,0.092,1,,,DOWN
2020-02-03,297.01171875,1.0,1.0,1.0,1.0,1.0,17.969999313354492,0.7,0.95,43.0,,0.26,0,,12.0,DOWN
2020-02-04,301.53857421875,1.0,1.0,1.0,1.0,1.0,16.049999237060547,0.7,0.95,52.5,,0.631,0,,12.8,DOWN
2020-02-05,305.0207214355469,1.0,1.0,1.0,0.85,1.0,15.149999618530273,0.7,0.925,56.7,,0.896,0,,13.3,DOWN
2020-02-06,306.0470275878906,1.0,1.0,1.0,0.85,0.9,14.960000038146973,0.7,0.908,54.6,,0.925,0,,13.2,DOWN
2020-02-07,304.4158935546875,1.0,1.0,1.0,1.0,1.0,15.470000267028809,0.7,0.95,50.4,,0.762,1,,13.3,DOWN
2020-02-10,306.6885070800781,1.0,1.0,1.0,0.85,1.0,15.039999961853027,0.7,0.925,54.7,,0.893,0,,13.4,DOWN
