rank,symbol,name,industry,total_score,signal,action,confidence,pattern_name,current_price,target_price,stop_loss,risk_reward,trend_score,pattern_score,momentum_score,volume_score,ma_trend,rsi,macd_status,volume_ratio
1,002074,国轩高科,其他,92,强烈买入,积极建仓，分批买入，突破确认后加仓,高,双底突破,101.39,110.58,95.25,1.5,25,25,21,21,多头排列,74.8,金叉,1.55
2,000831,中国稀土,其他,89,强烈买入,积极建仓，分批买入，突破确认后加仓,高,双底突破,109.03,120.93,101.11,1.5,25,25,25,14,多头排列,62.6,金叉,1.09
3,000066,中国长城,其他,88,强烈买入,积极建仓，分批买入，突破确认后加仓,高,双底突破,246.16,267.68,231.81,1.5,25,25,17,21,多头排列,100.0,金叉,1.82
4,000878,云南铜业,其他,88,强烈买入,积极建仓，分批买入，突破确认后加仓,高,双底突破,146.6,160.78,137.14,1.5,25,25,17,21,多头排列,76.7,金叉,1.56
5,002078,太阳纸业,其他,87,强烈买入,积极建仓，分批买入，突破确认后加仓,高,双底突破,16.99,18.59,15.93,1.5,25,25,21,16,多头排列,71.4,金叉,1.13
6,002001,新和成,其他,86,强烈买入,积极建仓，分批买入，突破确认后加仓,高,双底突破,184.4,202.87,172.09,1.5,25,25,17,19,多头排列,80.2,金叉,1.44
7,000792,盐湖股份,其他,86,强烈买入,积极建仓，分批买入，突破确认后加仓,高,双底突破,171.96,192.23,158.45,1.5,15,25,25,21,中期多头,51.4,金叉,1.58
8,000967,盈峰环境,其他,85,强烈买入,积极建仓，分批买入，突破确认后加仓,高,双底突破,74.86,81.81,70.23,1.5,25,25,21,14,多头排列,65.6,金叉,1.13
9,000039,中集集团,其他,82,买入,适量买入，关注突破，突破确认后加仓,中高,双底突破,182.96,196.75,173.76,1.5,25,25,17,15,多头排列,81.0,金叉,1.63
10,002128,电投能源,其他,81,买入,适量买入，关注突破,中高,头肩底,205.37,230.19,188.82,1.5,20,23,25,13,中期多头,61.6,金叉,0.97
11,002241,歌尔股份,其他,81,买入,适量买入，关注突破，突破确认后加仓,中高,双底突破,359.52,387.76,340.7,1.5,25,25,17,14,多头排列,84.4,金叉,1.22
12,002152,广电运通,其他,80,买入,适量买入，关注突破，形态完成度较高,中高,双底形态,117.31,127.43,110.56,1.5,20,22,15,23,中期多头,44.4,死叉,1.66
13,002008,大族激光,其他,80,买入,适量买入，关注突破，突破确认后加仓,中高,双底突破,66.3,71.12,63.08,1.5,25,25,21,9,多头排列,69.3,金叉,0.31
14,002176,江特电机,其他,78,买入,适量买入，关注突破，突破确认后加仓,中高,双底突破,89.34,98.31,83.36,1.5,25,25,21,7,多头排列,74.8,金叉,0.51
15,000629,钒钛股份,其他,78,买入,适量买入，关注突破，突破确认后加仓,中高,双底突破,93.91,102.12,88.44,1.5,25,25,17,11,多头排列,81.8,金叉,0.83
16,002028,思源电气,其他,78,买入,适量买入，关注突破，突破确认后加仓,中高,双底突破,93.06,101.72,87.28,1.5,25,25,21,7,多头排列,73.4,金叉,0.49
17,000425,徐工机械,其他,76,买入,适量买入，关注突破,中高,头肩底,40.93,43.85,38.99,1.5,25,23,17,11,多头排列,90.7,金叉,0.89
18,000683,博源化工,化工,76,买入,适量买入，关注突破,中高,上升趋势,73.72,82.31,67.99,1.5,20,15,25,16,中期多头,64.5,金叉,1.46
19,000988,华工科技,科技,75,买入,适量买入，关注突破，突破确认后加仓,中高,双底突破,62.81,69.27,58.5,1.5,10,25,21,19,短期多头,70.4,金叉,1.29
20,002091,江苏国泰,其他,74,买入,适量买入，关注突破，突破确认后加仓,中高,双底突破,169.04,183.24,159.57,1.5,25,25,17,7,多头排列,82.2,金叉,0.19
21,002223,鱼跃医疗,医药生物,74,买入,适量买入，关注突破，突破确认后加仓,中高,双底突破,196.81,213.16,185.92,1.5,25,25,17,7,多头排列,89.6,金叉,0.28
22,002236,大华股份,其他,74,买入,适量买入，关注突破,中高,上升趋势,22.93,25.2,21.42,1.5,25,15,17,17,多头排列,61.7,死叉,1.63
23,000975,山金国际,其他,73,买入,适量买入，关注突破，形态完成度较高,中高,双底形态,71.49,78.12,67.08,1.5,10,22,20,21,短期多头,48.0,金叉,1.42
