Key,Ticker,Date,Open,High,Low,Close,PrevClose,GapPct,IntradayPct,ReactionScore
AAPL|2024-12-24,AAPL,2024/12/24,255.49,258.21,255.29,258.2,255.27,0.000861833,0.010607069,0.004759927
AAPL|2024-12-26,AAPL,2024/12/26,258.19,260.1,257.63,259.02,258.2,-3.87E-05,0.003214687,0.001309113
AAPL|2024-12-27,AAPL,2024/12/27,257.83,258.7,253.06,255.59,259.02,-0.00459424,-0.008687895,0.006231702
AAPL|2024-12-30,AAPL,2024/12/30,252.23,253.5,250.75,252.2,255.59,-0.013146054,-0.000118939,0.007935208
AAPL|2024-12-31,AAPL,2024/12/31,252.44,253.28,249.43,250.42,252.2,0.000951626,-0.008001901,0.003771736
AAPL|2025-01-02,AAPL,2025/1/2,248.93,249.1,241.8201,243.85,250.42,-0.005950004,-0.020407343,0.01173294
AAPL|2025-01-03,AAPL,2025/1/3,243.36,244.18,241.89,243.36,243.85,-0.002009432,0,0.001205659
AAPL|2025-01-06,AAPL,2025/1/6,244.31,247.33,243.2,245,243.36,0.003903682,0.002824281,0.003471921
AAPL|2025-01-07,AAPL,2025/1/7,242.98,245.55,241.35,242.21,245,-0.008244898,-0.003168985,0.006214533
AAPL|2025-01-08,AAPL,2025/1/8,241.92,243.7123,240.05,242.7,242.21,-0.001197308,0.003224206,0.002008067
AAPL|2025-01-10,AAPL,2025/1/10,240.01,240.16,233,236.85,242.7,-0.011083642,-0.013166118,0.011916633
AAPL|2025-01-13,AAPL,2025/1/13,233.53,234.67,229.72,234.4,236.85,-0.014017311,0.003725431,0.009900559
AAPL|2025-01-14,AAPL,2025/1/14,234.75,236.12,232.472,233.28,234.4,0.001493174,-0.006261981,0.003400697
AAPL|2025-01-15,AAPL,2025/1/15,234.635,238.96,234.43,237.87,233.28,0.005808471,0.013787372,0.009000031
AAPL|2025-01-16,AAPL,2025/1/16,237.35,238.01,228.03,228.26,237.87,-0.002186068,-0.038297872,0.01663079
AAPL|2025-01-17,AAPL,2025/1/17,232.115,232.29,228.48,229.98,228.26,0.016888636,-0.009198027,0.013812392
